node_id,node_x,node_y,from_segment_id,to_segment_id,from_original_edge_id,to_original_edge_id,from_fclass,to_fclass,from_name,to_name,from_ref,to_ref,from_bridge,to_bridge,from_tunnel,to_tunnel,from_layer,to_layer,turn_angle_deg,same_nonempty_name_or_ref,review_decision,formal_graph_repaired
34575,667440.431,3543636.962,185427965_000008,1524823332_000034,185427965,1524823332,residential,service,饮马巷,,,,False,False,False,False,0.0,1.0,88.72047016286633,False,suspicious_grade_jump,False
34575,667440.431,3543636.962,1008801409_000005,1524823332_000033,1008801409,1524823332,primary,service,中山南路,,,,False,False,False,False,0.0,1.0,180.0,False,suspicious_grade_jump,False
34575,667440.431,3543636.962,1008801409_000006,1524823332_000034,1008801409,1524823332,primary,service,中山南路,,,,False,False,False,False,0.0,1.0,180.0,False,suspicious_grade_jump,False
34893,684487.434,3554911.688,187478937_000001,1518652372_000015,187478937,1518652372,service,path,,,,,True,True,False,False,1.0,0.0,91.79270548877543,False,suspicious_grade_jump,False
34893,684487.434,3554911.688,187478937_000002,1518652372_000015,187478937,1518652372,service,path,,,,,True,True,False,False,1.0,0.0,88.26343165749326,False,suspicious_grade_jump,False
35061,675003.534,3555984.997,934630263_000003,1313075118_000047,934630263,1313075118,residential,path,,,,,True,False,False,False,1.0,0.0,51.43747643763087,False,suspicious_grade_jump,False
35518,684442.929,3554728.556,188116855_000001,1518303615_000004,188116855,1518303615,footway,footway,,,,,False,False,False,False,0.0,-1.0,89.40223730126964,False,suspicious_grade_jump,False
35518,684442.929,3554728.556,188116855_000002,1518303615_000004,188116855,1518303615,footway,footway,,,,,False,False,False,False,0.0,-1.0,90.50313880305556,False,suspicious_grade_jump,False
35522,684393.1,3554786.767,188116858_000001,1518303615_000001,188116858,1518303615,footway,footway,,,,,False,False,False,False,0.0,-1.0,90.0047133848059,False,suspicious_grade_jump,False
35599,684562.619,3555049.327,188133588_000005,1518652372_000001,188133588,1518652372,path,path,,,,,False,True,False,False,0.0,0.0,153.28422996406456,False,suspicious_grade_jump,False
