candidate_id,source_node,target_node,source_x,source_y,target_x,target_y,gap_m,source_angle_deg,target_angle_deg,source_edge_id,target_edge_id,high_confidence
global_gap_00001,169784,169787,668052.715,3549850.979,668030.148,3549851.516,22.573388270184942,2.69713271308825,1.7719365276069663,1061610842,1061610844,True
global_gap_00002,53659,53666,669768.768,3546794.469,669773.22,3546819.262,25.1895445175679,1.5362637328507938,2.8967296175358963,319054781,319054783,True
global_gap_00003,130022,130024,662188.147,3541409.282,662173.97,3541386.745,26.62524550123842,3.5055963953231637,3.622325449510369,863035764,863035766,True
global_gap_00004,129782,129784,668998.485,3551618.526,668973.103,3551632.466,28.95806492149624,2.8013678374052797,3.253879883523053,860732267,860732268,True
